date,open,high,low,close,volume,maturity
11/23/2021,556111.0,557000.0,550112.0,553000.0,81710,20240708
11/24/2021,555111.0,556888.0,551120.0,554964.0,91409,20240708
11/27/2021,550155.0,555000.0,550003.0,551000.0,101263,20240708
11/28/2021,545009.0,556799.0,545009.0,556799.0,105039,20240708
11/29/2021,550000.0,551000.0,547788.0,550000.0,207373,20240708
11/30/2021,548000.0,555000.0,545000.0,550900.0,205272,20240708
12/01/2021,556999.0,556999.0,550200.0,556000.0,141812,20240708
12/04/2021,551800.0,553990.0,551334.0,553000.0,72532,20240708
12/05/2021,551601.0,554000.0,551011.0,554000.0,209333,20240708
12/06/2021,553000.0,555000.0,552611.0,553611.0,139213,20240708
12/07/2021,553611.0,554500.0,552225.0,554000.0,68221,20240708
12/08/2021,553999.0,555000.0,552600.0,555000.0,111054,20240708
12/11/2021,555000.0,556100.0,554340.0,556100.0,58907,20240708
12/12/2021,550113.0,556000.0,542451.0,554000.0,159187,20240708
12/13/2021,554000.0,555500.0,553959.0,554400.0,78583,20240708
12/14/2021,553155.0,559799.0,553155.0,555100.0,133404,20240708
12/15/2021,555570.0,558000.0,554900.0,555500.0,55022,20240708
12/18/2021,550605.0,556963.0,545111.0,553000.0,167048,20240708
12/19/2021,555111.0,555995.0,550000.0,554000.0,106721,20240708
12/20/2021,554365.0,554899.0,553511.0,554000.0,157480,20240708
12/21/2021,554716.0,555500.0,554716.0,554826.0,70108,20240708
12/22/2021,554250.0,558000.0,554250.0,558000.0,90885,20240708
12/25/2021,557030.0,558320.0,557000.0,558100.0,71768,20240708
12/26/2021,556000.0,557970.0,550560.0,557660.0,201352,20240708
12/27/2021,556690.0,557980.0,556030.0,557360.0,158159,20240708
12/28/2021,555810.0,559200.0,555810.0,559070.0,106549,20240708
12/29/2021,558510.0,562950.0,558510.0,562300.0,85829,20240708
01/01/2022,561990.0,564000.0,561950.0,563900.0,124504,20240708
01/02/2022,563910.0,565090.0,563910.0,564500.0,183855,20240708
01/03/2022,562500.0,570000.0,562500.0,566610.0,172631,20240708
01/04/2022,568610.0,569990.0,567900.0,568600.0,35152,20240708
01/05/2022,570230.0,573700.0,570030.0,573700.0,22218,20240708
01/08/2022,573520.0,576000.0,572620.0,575880.0,74286,20240708
01/09/2022,580780.0,580780.0,576010.0,577900.0,93476,20240708
01/10/2022,580010.0,580010.0,576750.0,578500.0,121121,20240708
01/11/2022,575750.0,582980.0,574530.0,582970.0,101133,20240708
01/12/2022,573010.0,580000.0,573010.0,580000.0,95948,20240708
01/15/2022,579010.0,581000.0,578600.0,580010.0,209489,20240708
01/16/2022,580850.0,582390.0,580600.0,582390.0,104363,20240708
01/17/2022,582000.0,583820.0,582000.0,583100.0,58220,20240708
01/18/2022,584890.0,584990.0,582110.0,583110.0,58970,20240708
01/19/2022,583180.0,585000.0,582900.0,585000.0,31332,20240708
01/22/2022,583700.0,584900.0,583700.0,584890.0,38756,20240708
01/23/2022,583700.0,585000.0,581990.0,583950.0,80821,20240708
01/24/2022,580210.0,583600.0,576230.0,583600.0,112131,20240708
01/25/2022,580720.0,583900.0,580550.0,583320.0,75689,20240708
01/26/2022,583320.0,585010.0,583100.0,585000.0,91507,20240708
01/29/2022,584300.0,586990.0,584300.0,585820.0,59000,20240708
01/30/2022,585930.0,587200.0,585900.0,587200.0,137404,20240708
01/31/2022,586510.0,588990.0,586300.0,588990.0,84009,20240708
02/01/2022,586890.0,591420.0,586890.0,591400.0,102330,20240708
02/02/2022,591410.0,592990.0,591400.0,592990.0,40893,20240708
02/05/2022,592990.0,597000.0,592500.0,596990.0,76027,20240708
02/06/2022,596990.0,598000.0,595220.0,597400.0,57440,20240708
02/07/2022,597500.0,600990.0,597500.0,600990.0,80165,20240708
02/08/2022,599130.0,600840.0,598320.0,600840.0,30351,20240708
