date,open,high,low,close,vol
11/10/2021,6380,6420,6210,6400,1688423
11/13/2021,6330,6380,6180,6180,1289528
11/14/2021,6220,6360,6120,6170,560907
11/15/2021,6190,6290,6050,6060,1149985
11/16/2021,6150,6220,6060,6150,627142
