date,open,high,low,close,volume,maturity
11/23/2021,545222.0,548999.0,544850.0,546300.0,146621,20240812
11/24/2021,546969.0,548890.0,540000.0,546432.0,182707,20240812
11/27/2021,541012.0,541558.0,539001.0,539100.0,82563,20240812
11/28/2021,540000.0,540500.0,536001.0,538233.0,58771,20240812
11/29/2021,537002.0,541000.0,534200.0,541000.0,415528,20240812
11/30/2021,535910.0,542500.0,535004.0,539555.0,477873,20240812
12/01/2021,539500.0,544000.0,538339.0,544000.0,200124,20240812
12/04/2021,546060.0,548390.0,539711.0,541600.0,457004,20240812
12/05/2021,540002.0,542000.0,540002.0,541214.0,355508,20240812
12/06/2021,541453.0,542500.0,541215.0,542000.0,416019,20240812
12/07/2021,540111.0,542430.0,540000.0,542300.0,445714,20240812
12/08/2021,540119.0,543479.0,540114.0,543479.0,116013,20240812
12/11/2021,541100.0,543699.0,541100.0,543000.0,210703,20240812
12/12/2021,541582.0,543084.0,535990.0,538200.0,292549,20240812
12/13/2021,539121.0,542884.0,539121.0,542000.0,362322,20240812
12/14/2021,542474.0,545000.0,542000.0,545000.0,385198,20240812
12/15/2021,542909.0,543999.0,542760.0,543200.0,481508,20240812
12/18/2021,542004.0,543838.0,540002.0,541000.0,444618,20240812
12/19/2021,542501.0,542501.0,535061.0,541890.0,372108,20240812
12/20/2021,541999.0,542500.0,541310.0,541352.0,507329,20240812
12/21/2021,542578.0,542578.0,541716.0,542001.0,404518,20240812
12/22/2021,541110.0,545790.0,541110.0,545790.0,196228,20240812
12/25/2021,544250.0,545800.0,544250.0,544460.0,240282,20240812
12/26/2021,543510.0,546490.0,543510.0,545600.0,292718,20240812
12/27/2021,541330.0,546770.0,541330.0,545030.0,416746,20240812
12/28/2021,544000.0,547590.0,544000.0,547000.0,276548,20240812
12/29/2021,546410.0,549990.0,546400.0,549990.0,347490,20240812
01/01/2022,550000.0,552000.0,549400.0,552000.0,137981,20240812
01/02/2022,551080.0,553910.0,551080.0,552520.0,287251,20240812
01/03/2022,552100.0,558880.0,552030.0,556450.0,310087,20240812
01/04/2022,555600.0,559900.0,555600.0,557950.0,137449,20240812
01/05/2022,561020.0,563000.0,559000.0,563000.0,58447,20240812
01/08/2022,565000.0,565570.0,563910.0,563910.0,164605,20240812
01/09/2022,565800.0,565910.0,563620.0,565010.0,174214,20240812
01/10/2022,564600.0,568940.0,564600.0,567000.0,371111,20240812
01/11/2022,566110.0,567200.0,549940.0,564040.0,301800,20240812
01/12/2022,565000.0,570000.0,565000.0,569900.0,133999,20240812
01/15/2022,566700.0,569300.0,566620.0,569300.0,101461,20240812
01/16/2022,569070.0,570000.0,568010.0,570000.0,169136,20240812
01/17/2022,571000.0,571990.0,569590.0,571000.0,98414,20240812
01/18/2022,571010.0,573480.0,569000.0,572000.0,490483,20240812
01/19/2022,570990.0,572500.0,570110.0,572500.0,248858,20240812
01/22/2022,570780.0,572890.0,570710.0,572790.0,123883,20240812
01/23/2022,550010.0,572790.0,550010.0,571500.0,215710,20240812
01/24/2022,570000.0,571000.0,570000.0,570300.0,163730,20240812
01/25/2022,569890.0,571370.0,569850.0,571370.0,166113,20240812
01/26/2022,570700.0,572640.0,570700.0,572400.0,53382,20240812
01/29/2022,573490.0,573990.0,572090.0,573610.0,67930,20240812
01/30/2022,574000.0,575000.0,573290.0,575000.0,187239,20240812
01/31/2022,575890.0,577700.0,574100.0,577700.0,246176,20240812
02/01/2022,575360.0,579250.0,575360.0,578980.0,141803,20240812
02/02/2022,578500.0,581000.0,578350.0,580000.0,76769,20240812
02/05/2022,581000.0,589000.0,580800.0,584500.0,207464,20240812
02/06/2022,584500.0,587480.0,581510.0,585100.0,453001,20240812
02/07/2022,585110.0,587590.0,585100.0,586610.0,225253,20240812
02/08/2022,586620.0,588990.0,586090.0,588100.0,154795,20240812
