date,open,high,low,close,volume,maturity
11/23/2021,518000.0,518000.0,513000.0,515000.0,82081,20241111
11/24/2021,517450.0,517450.0,510000.0,515700.0,156132,20241111
11/27/2021,517400.0,517400.0,508001.0,512000.0,147597,20241111
11/28/2021,510500.0,512000.0,506000.0,512000.0,270151,20241111
11/29/2021,507199.0,511990.0,502770.0,509000.0,254367,20241111
11/30/2021,509000.0,523000.0,509000.0,509001.0,272790,20241111
12/01/2021,513700.0,515000.0,510000.0,513990.0,123739,20241111
12/04/2021,508666.0,514899.0,508666.0,510729.0,333380,20241111
12/05/2021,510223.0,511270.0,508113.0,511000.0,336790,20241111
12/06/2021,511000.0,512499.0,511000.0,511600.0,251360,20241111
12/07/2021,510223.0,512495.0,510000.0,511000.0,423730,20241111
12/08/2021,512000.0,513975.0,510555.0,513900.0,490160,20241111
12/11/2021,512000.0,514000.0,512000.0,512000.0,270732,20241111
12/12/2021,513499.0,513900.0,510000.0,512800.0,517324,20241111
12/13/2021,510224.0,513500.0,509011.0,509011.0,360350,20241111
12/14/2021,512354.0,514885.0,512354.0,513700.0,450509,20241111
12/15/2021,515000.0,515000.0,512101.0,513999.0,101238,20241111
12/18/2021,511112.0,513997.0,510001.0,511941.0,286801,20241111
12/19/2021,512998.0,512998.0,510583.0,510583.0,256843,20241111
12/20/2021,511926.0,511928.0,508068.0,511200.0,173526,20241111
12/21/2021,512249.0,512980.0,510320.0,512000.0,314933,20241111
12/22/2021,513000.0,515690.0,512480.0,515680.0,181409,20241111
12/25/2021,515650.0,515980.0,514000.0,515400.0,376708,20241111
12/26/2021,515990.0,515990.0,512520.0,515200.0,251226,20241111
12/27/2021,514000.0,515000.0,513210.0,514310.0,362400,20241111
12/28/2021,514210.0,517490.0,514200.0,517490.0,297139,20241111
12/29/2021,518400.0,520890.0,516000.0,520890.0,91816,20241111
01/01/2022,516220.0,521790.0,516220.0,521730.0,338126,20241111
01/02/2022,521000.0,522970.0,521000.0,521900.0,208834,20241111
01/03/2022,519940.0,527890.0,519940.0,523510.0,205866,20241111
01/04/2022,525510.0,527910.0,524290.0,526320.0,291743,20241111
01/05/2022,527000.0,532550.0,527000.0,531370.0,327061,20241111
01/08/2022,534000.0,535000.0,531200.0,534990.0,342827,20241111
01/09/2022,537960.0,537960.0,533000.0,534310.0,359266,20241111
01/10/2022,533570.0,537100.0,532110.0,537100.0,169622,20241111
01/11/2022,537100.0,537100.0,519570.0,537090.0,259906,20241111
01/12/2022,536790.0,536790.0,533000.0,535900.0,184621,20241111
01/15/2022,536990.0,537990.0,534020.0,537570.0,309655,20241111
01/16/2022,536300.0,540000.0,536300.0,540000.0,418753,20241111
01/17/2022,540000.0,541990.0,539200.0,541790.0,469236,20241111
01/18/2022,542980.0,542980.0,540000.0,540930.0,199424,20241111
01/19/2022,542900.0,542900.0,540510.0,541000.0,176342,20241111
01/22/2022,537700.0,542810.0,535050.0,542280.0,262390,20241111
01/23/2022,542000.0,542790.0,539450.0,541400.0,247563,20241111
01/24/2022,541000.0,541000.0,537080.0,540000.0,203491,20241111
01/25/2022,540000.0,541990.0,538010.0,541990.0,201249,20241111
01/26/2022,541990.0,542440.0,540030.0,542300.0,177234,20241111
01/29/2022,542290.0,544980.0,542290.0,544000.0,203468,20241111
01/30/2022,544480.0,544480.0,542110.0,543510.0,130699,20241111
01/31/2022,545480.0,547380.0,542040.0,547380.0,250217,20241111
02/01/2022,548980.0,549370.0,544090.0,549270.0,281587,20241111
02/02/2022,548000.0,551000.0,547560.0,550500.0,222516,20241111
02/05/2022,550800.0,555000.0,550510.0,553500.0,521895,20241111
02/06/2022,553600.0,556790.0,553500.0,555300.0,198274,20241111
02/07/2022,557880.0,557880.0,555410.0,557200.0,309282,20241111
02/08/2022,557200.0,559000.0,557100.0,557580.0,262412,20241111
