date,capital (balance),cash,asset,proposed_actions,real_actions,close
2017-01-01 04:00:00,10000.0,10000.0,0.0,0.0,0.0,1010.6
2017-01-02 04:00:00,10000.0,10000.0,0.0,0.0,0.0,1028.38
2017-01-03 04:00:00,9990.1099049992,100.00500420420212,9.61716,0.99,9.61716,1049.37
2017-01-04 04:00:00,10191.865290281701,1.0028795795775096,9.71141,0.99,0.09425,1146.0
2017-01-05 04:00:00,11130.278739579579,1.0028795795775096,9.71141,0.0,0.0,987.95
2017-01-06 04:00:00,9595.390389079577,1.0028795795775096,9.71141,0.0,0.0,839.53
2017-01-07 04:00:00,8145.951431995879,8064.416278395878,0.09712000000000032,-0.99,-9.61429,918.39
2017-01-08 04:00:00,8153.522021181278,8152.621998981278,0.000980000000000314,-0.99,-0.09614,891.83
2017-01-09 04:00:00,8145.432975187879,81.53371729959599,9.04196,0.99,9.04098,907.51
2017-01-10 04:00:00,8287.122204636096,0.8207408231195217,9.13081,0.99,0.08885,913.98
2017-01-11 04:00:00,8346.19846462312,0.8207408231195217,9.13081,0.0,0.0,776.02
2017-01-12 04:00:00,7079.4970842331195,7008.63869803312,0.09131,-0.99,-9.0395,790.1
2017-01-13 04:00:00,7080.71131189412,7079.98441989412,0.0009200000000000041,-0.99,-0.09039,819.27
2017-01-14 04:00:00,7080.73740275842,7080.72921005842,1.0000000000004146e-05,-0.99,-0.00091,827.85
2017-01-15 04:00:00,7080.73748855842,7080.72921005842,1.0000000000004146e-05,-0.99,-0.0,836.58
2017-01-16 04:00:00,7080.73757585842,7080.72921005842,1.0000000000004146e-05,-0.99,-0.0,852.77
2017-01-17 04:00:00,7080.73773775842,7080.72921005842,1.0000000000004146e-05,-0.99,-0.0,892.54
2017-01-18 04:00:00,7080.73813545842,7080.72921005842,1.0000000000004146e-05,-0.99,-0.0,890.83
2017-01-19 04:00:00,7080.73811835842,7080.72921005842,1.0000000000004146e-05,-0.99,-0.0,901.56
2017-01-20 04:00:00,7080.73822565842,7080.72921005842,1.0000000000004146e-05,0.0,0.0,925.33
2017-01-21 04:00:00,7080.73846335842,7080.72921005842,1.0000000000004146e-05,0.0,0.0,937.9
2017-01-22 04:00:00,7080.73858905842,7080.72921005842,1.0000000000004146e-05,0.0,0.0,923.22
2017-01-23 04:00:00,7080.73844225842,7080.72921005842,1.0000000000004146e-05,0.0,0.0,912.72
2017-01-24 04:00:00,7080.73833725842,7080.72921005842,1.0000000000004146e-05,0.0,0.0,898.46
2017-01-25 04:00:00,7080.73819465842,7080.72921005842,1.0000000000004146e-05,0.0,0.0,901.55
2017-01-26 04:00:00,7080.73822555842,7080.72921005842,1.0000000000004146e-05,0.0,0.0,915.43
2017-01-27 04:00:00,7080.73836435842,7080.72921005842,1.0000000000004146e-05,0.0,0.0,921.73
2017-01-28 04:00:00,7080.73842735842,7080.72921005842,1.0000000000004146e-05,0.0,0.0,922.99
2017-01-29 04:00:00,7080.73843995842,7080.72921005842,1.0000000000004146e-05,0.0,0.0,919.48
2017-01-30 04:00:00,7080.73840485842,7080.72921005842,1.0000000000004146e-05,-0.99,-0.0,923.99
2017-01-31 04:00:00,7080.73844995842,7080.72921005842,1.0000000000004146e-05,-0.99,-0.0,973.04
2017-02-01 04:00:00,7080.73894045842,7080.72921005842,1.0000000000004146e-05,-0.99,-0.0,980.48
2017-02-02 04:00:00,7073.73610314002,70.80757001837901,7.14234,0.99,7.14233,1020.06
2017-02-03 04:00:00,7356.352883299379,0.7103538021627998,7.21099,0.99,0.06865,1010.81
2017-02-04 04:00:00,7289.650458243263,0.012196745105742868,7.211679999999999,0.99,0.00069,1028.9
2017-02-05 04:00:00,7420.109738456106,0.0018974458064435675,7.211689999999999,0.99,1e-05,1016.95
2017-02-06 04:00:00,7333.930042945805,0.0018974458064435675,7.211689999999999,0.99,0.0,1026.99
2017-02-07 04:00:00,7406.335410545806,0.0018974458064435675,7.211689999999999,0.99,0.0,1068.62
2017-02-08 04:00:00,7706.558065245805,0.0018974458064435675,7.211689999999999,0.99,0.0,1072.19
2017-02-09 04:00:00,7732.303798545806,0.0018974458064435675,7.211689999999999,0.99,0.0,979.96
2017-02-10 04:00:00,7067.1696298458055,0.0018974458064435675,7.211689999999999,0.99,0.0,1000.07
2017-02-11 04:00:00,7212.196715745806,0.0018974458064435675,7.211689999999999,0.99,0.0,1012.1
2017-02-12 04:00:00,7298.953346445805,0.0018974458064435675,7.211689999999999,0.99,0.0,1009.0
2017-02-13 04:00:00,7276.597107445805,0.0018974458064435675,7.211689999999999,0.99,0.0,997.34
2017-02-14 04:00:00,7192.508802045805,0.0018974458064435675,7.211689999999999,0.0,0.0,1008.17
2017-02-15 04:00:00,7270.611404745805,0.0018974458064435675,7.211689999999999,0.0,0.0,1023.67
2017-02-16 04:00:00,7382.392599745805,0.0018974458064435675,7.211689999999999,0.0,0.0,1037.15
2017-02-17 04:00:00,7479.606180945806,0.0018974458064435675,7.211689999999999,0.99,0.0,1060.99
2017-02-18 04:00:00,7651.532870545805,0.0018974458064435675,7.211689999999999,0.99,0.0,1054.23
2017-02-19 04:00:00,7602.7818461458055,0.0018974458064435675,7.211689999999999,0.99,0.0,1049.26
2017-02-20 04:00:00,7566.9397468458055,0.0018974458064435675,7.211689999999999,0.0,0.0,1079.7
2017-02-21 04:00:00,7778.754996716805,7700.887032716806,0.07211999999999907,-0.99,-7.13957,1122.51
2017-02-22 04:00:00,7781.762317927905,7780.942885627906,0.0007299999999990786,-0.99,-0.07139,1127.8
2017-02-23 04:00:00,7781.766179627905,7780.942885627906,0.0007299999999990786,0.0,0.0,1200.0
2017-02-24 04:00:00,7774.123465627906,77.81976250478328,6.413579999999999,0.99,6.41285,1183.99
2017-02-25 04:00:00,7671.357387354782,0.7833761183969017,6.478579999999999,0.99,0.065,1143.56
2017-02-26 04:00:00,7409.427554733195,0.01642396624474951,6.4792499999999995,0.99,0.00067,1188.34
2017-02-27 04:00:00,7699.568357082844,0.004528670949454215,6.479259999999999,0.99,1e-05,1193.96
2017-02-28 04:00:00,7735.981798270948,0.004528670949454215,6.479259999999999,0.99,0.0,1197.68
2017-03-01 04:00:00,7760.084645470949,0.004528670949454215,6.479259999999999,0.99,0.0,1224.0
2017-03-02 04:00:00,7930.618768670948,0.004528670949454215,6.479259999999999,0.99,0.0,1272.07
2017-03-03 04:00:00,8242.076796870948,0.004528670949454215,6.479259999999999,0.99,0.0,1285.01
2017-03-04 04:00:00,8325.91842127095,0.004528670949454215,6.479259999999999,0.99,0.0,1265.0
2017-03-05 04:00:00,8196.268428670948,0.004528670949454215,6.479259999999999,0.99,0.0,1276.51
2017-03-06 04:00:00,8270.84471127095,0.004528670949454215,6.479259999999999,0.99,0.0,1285.38
2017-03-07 04:00:00,8328.31574747095,0.004528670949454215,6.479259999999999,0.99,0.0,1211.02
2017-03-08 04:00:00,7846.517973870948,0.004528670949454215,6.479259999999999,0.99,0.0,1156.39
2017-03-09 04:00:00,7492.556000070949,0.004528670949454215,6.479259999999999,0.99,0.0,1200.75
2017-03-10 04:00:00,7779.975973670948,0.004528670949454215,6.479259999999999,0.99,0.0,1143.23
2017-03-11 04:00:00,7407.288938470948,0.004528670949454215,6.479259999999999,0.99,0.0,1188.13
2017-03-12 04:00:00,7698.2077124709485,0.004528670949454215,6.479259999999999,0.99,0.0,1234.55
2017-03-13 04:00:00,7998.974961670948,0.004528670949454215,6.479259999999999,0.99,0.0,1245.03
2017-03-14 04:00:00,8066.877606470948,0.004528670949454215,6.479259999999999,0.99,0.0,1247.99
