date,open,high,low,close,volume,maturity
09/25/2021,540001.0,541998.0,533000.0,539500.0,464742,20240812
09/26/2021,543775.0,543775.0,535831.0,540800.0,334707,20240812
09/28/2021,535778.0,544000.0,535778.0,543000.0,338455,20240812
09/29/2021,543300.0,544498.0,540700.0,544498.0,221218,20240812
10/02/2021,544498.0,545500.0,542500.0,545000.0,258633,20240812
10/03/2021,544718.0,546968.0,543000.0,544990.0,87343,20240812
10/04/2021,545035.0,546010.0,545035.0,545037.0,40984,20240812
10/06/2021,548968.0,550000.0,548968.0,550000.0,43257,20240812
10/09/2021,549300.0,550000.0,548673.0,548673.0,65617,20240812
10/10/2021,546555.0,549988.0,545689.0,549000.0,74923,20240812
10/11/2021,549147.0,550000.0,548000.0,549550.0,221361,20240812
10/12/2021,549800.0,549800.0,548000.0,548989.0,102767,20240812
10/13/2021,546300.0,548684.0,541111.0,545000.0,152249,20240812
10/16/2021,546343.0,546343.0,540501.0,543800.0,219829,20240812
10/17/2021,544179.0,545500.0,542000.0,542303.0,283978,20240812
10/18/2021,544870.0,544870.0,533009.0,540001.0,137441,20240812
10/19/2021,541024.0,541024.0,538001.0,539900.0,136520,20240812
10/20/2021,538490.0,541052.0,538446.0,540000.0,137012,20240812
10/23/2021,540070.0,544999.0,540020.0,544995.0,374273,20240812
10/25/2021,541504.0,547000.0,541504.0,546999.0,176233,20240812
10/26/2021,545509.0,548796.0,541801.0,547867.0,254973,20240812
10/27/2021,546500.0,550000.0,546500.0,550000.0,423688,20240812
10/30/2021,553840.0,553840.0,547200.0,552000.0,207819,20240812
10/31/2021,550794.0,555000.0,550794.0,553900.0,94302,20240812
11/01/2021,524844.0,557900.0,524844.0,552000.0,225733,20240812
11/02/2021,554983.0,554983.0,548105.0,550000.0,480652,20240812
11/03/2021,547902.0,554000.0,547902.0,554000.0,170617,20240812
11/06/2021,553700.0,553898.0,550501.0,553898.0,174701,20240812
11/07/2021,552000.0,553500.0,547000.0,550500.0,271802,20240812
11/08/2021,551000.0,554500.0,550302.0,551111.0,108812,20240812
11/09/2021,551111.0,553525.0,550557.0,552000.0,269201,20240812
11/10/2021,552999.0,553500.0,552000.0,553500.0,69163,20240812
11/13/2021,552066.0,552600.0,550000.0,551400.0,194590,20240812
11/14/2021,550555.0,550555.0,548000.0,550000.0,149128,20240812
11/15/2021,550000.0,552100.0,548504.0,549521.0,347593,20240812
11/16/2021,550222.0,551995.0,550004.0,551029.0,150044,20240812
11/17/2021,550615.0,551000.0,545555.0,546500.0,168047,20240812
11/20/2021,545100.0,549000.0,545100.0,548978.0,170767,20240812
11/21/2021,548500.0,548500.0,537353.0,547590.0,176540,20240812
11/22/2021,546222.0,546225.0,545555.0,546000.0,53887,20240812
11/23/2021,545222.0,548999.0,544850.0,546300.0,146621,20240812
11/24/2021,546969.0,548890.0,540000.0,546432.0,182707,20240812
11/27/2021,541012.0,541558.0,539001.0,539100.0,82563,20240812
11/28/2021,540000.0,540500.0,536001.0,538233.0,58771,20240812
11/29/2021,537002.0,541000.0,534200.0,541000.0,415528,20240812
11/30/2021,535910.0,542500.0,535004.0,539555.0,477873,20240812
12/01/2021,539500.0,544000.0,538339.0,544000.0,200124,20240812
12/04/2021,546060.0,548390.0,539711.0,541600.0,457004,20240812
12/05/2021,540002.0,542000.0,540002.0,541214.0,355508,20240812
12/06/2021,541453.0,542500.0,541215.0,542000.0,416019,20240812
12/07/2021,540111.0,542430.0,540000.0,542300.0,445714,20240812
12/08/2021,540119.0,543479.0,540114.0,543479.0,116013,20240812
12/11/2021,541100.0,543699.0,541100.0,543000.0,210703,20240812
12/12/2021,541582.0,543084.0,535990.0,538200.0,292549,20240812
12/13/2021,539121.0,542884.0,539121.0,542000.0,362322,20240812
12/14/2021,542474.0,545000.0,542000.0,545000.0,385198,20240812
12/15/2021,542909.0,543999.0,542760.0,543200.0,481508,20240812
12/18/2021,542004.0,543838.0,540002.0,541000.0,444618,20240812
12/19/2021,542501.0,542501.0,535061.0,541890.0,372108,20240812
12/20/2021,541999.0,542500.0,541310.0,541352.0,507329,20240812
12/21/2021,542578.0,542578.0,541716.0,542001.0,404518,20240812
12/22/2021,541110.0,545790.0,541110.0,545790.0,196228,20240812
12/25/2021,544250.0,545800.0,544250.0,544460.0,240282,20240812
12/26/2021,543510.0,546490.0,543510.0,545600.0,292718,20240812
12/27/2021,541330.0,546770.0,541330.0,545030.0,416746,20240812
12/28/2021,544000.0,547590.0,544000.0,547000.0,276548,20240812
12/29/2021,546410.0,549990.0,546400.0,549990.0,347490,20240812
01/01/2022,550000.0,552000.0,549400.0,552000.0,137981,20240812
01/02/2022,551080.0,553910.0,551080.0,552520.0,287251,20240812
01/03/2022,552100.0,558880.0,552030.0,556450.0,310087,20240812
01/04/2022,555600.0,559900.0,555600.0,557950.0,137449,20240812
01/05/2022,561020.0,563000.0,559000.0,563000.0,58447,20240812
01/08/2022,565000.0,565570.0,563910.0,563910.0,164605,20240812
01/09/2022,565800.0,565910.0,563620.0,565010.0,174214,20240812
01/10/2022,564600.0,568940.0,564600.0,567000.0,371111,20240812
01/11/2022,566110.0,567200.0,549940.0,564040.0,301800,20240812
01/12/2022,565000.0,570000.0,565000.0,569900.0,133999,20240812
01/15/2022,566700.0,569300.0,566620.0,569300.0,101461,20240812
01/16/2022,569070.0,570000.0,568010.0,570000.0,169136,20240812
01/17/2022,571000.0,571990.0,569590.0,571000.0,98414,20240812
01/18/2022,571010.0,573480.0,569000.0,572000.0,490483,20240812
01/19/2022,570990.0,572500.0,570110.0,572500.0,248858,20240812
01/22/2022,570780.0,572890.0,570710.0,572790.0,123883,20240812
01/23/2022,550010.0,572790.0,550010.0,571500.0,215710,20240812
01/24/2022,570000.0,571000.0,570000.0,570300.0,163730,20240812
01/25/2022,569890.0,571370.0,569850.0,571370.0,166113,20240812
01/26/2022,570700.0,572640.0,570700.0,572400.0,53382,20240812
01/29/2022,573490.0,573990.0,572090.0,573610.0,67930,20240812
01/30/2022,574000.0,575000.0,573290.0,575000.0,187239,20240812
01/31/2022,575890.0,577700.0,574100.0,577700.0,246176,20240812
02/01/2022,575360.0,579250.0,575360.0,578980.0,141803,20240812
02/02/2022,578500.0,581000.0,578350.0,580000.0,76769,20240812
02/05/2022,581000.0,589000.0,580800.0,584500.0,207464,20240812
02/06/2022,584500.0,587480.0,581510.0,585100.0,453001,20240812
